Region,Rt_avg_7days,Date_reference
Molise,1.38,2020-11-18
Piemonte,0.72,2020-11-18
Puglia,0.89,2020-11-18
Sardegna,0.61,2020-11-18
Sicilia,0.79,2020-11-18
Toscana,1.01,2020-11-18
Trento,0.83,2020-11-18
Umbria,0.71,2020-11-18
Valle d'Aosta,0.79,2020-11-18
Veneto,1.13,2020-11-18
Abruzzo,0.80,2020-11-25
Basilicata,0.65,2020-11-25
Bolzano,0.67,2020-11-25
Calabria,0.64,2020-11-25
Campania,0.71,2020-11-25
Emilia-Romagna,0.81,2020-11-25
Friuli VG,0.97,2020-11-25
Lazio,0.67,2020-11-25
Liguria,0.63,2020-11-25
Lombardia,0.82,2020-11-25
Marche,0.80,2020-11-25
Molise,1.45,2020-11-25
Piemonte,0.64,2020-11-25
Puglia,0.80,2020-11-25
Sardegna,0.70,2020-11-25
Sicilia,0.68,2020-11-25
Toscana,0.76,2020-11-25
Trento,0.91,2020-11-25
Umbria,0.66,2020-11-25
Valle d'Aosta,0.60,2020-11-25
Veneto,0.91,2020-11-25
Abruzzo,0.82,2020-12-02
Basilicata,0.61,2020-12-02
Bolzano,0.81,2020-12-02
Calabria,0.74,2020-12-02
Campania,0.59,2020-12-02
Emilia-Romagna,0.84,2020-12-02
Friuli VG,0.70,2020-12-02
Lazio,1.04,2020-12-02
Liguria,0.73,2020-12-02
Lombardia,1.02,2020-12-02
Marche,0.97,2020-12-02
Molise,1.16,2020-12-02
Piemonte,0.68,2020-12-02
Puglia,0.90,2020-12-02
Sardegna,0.83,2020-12-02
Sicilia,0.72,2020-12-02
Toscana,0.68,2020-12-02
Trento,1.05,2020-12-02
Umbria,0.75,2020-12-02
Valle d'Aosta,0.57,2020-12-02
Veneto,1.08,2020-12-02
Abruzzo,0.70,2020-12-08
Basilicata,0.69,2020-12-08
Bolzano,0.71,2020-12-08
Calabria,0.80,2020-12-08
Campania,0.65,2020-12-08
Emilia-Romagna,0.82,2020-12-08
Friuli VG,0.78,2020-12-08
Lazio,0.96,2020-12-08
Liguria,0.82,2020-12-08
Lombardia,0.92,2020-12-08
Marche,0.81,2020-12-08
Molise,1.02,2020-12-08
Piemonte,0.69,2020-12-08
Puglia,0.88,2020-12-08
Sardegna,0.74,2020-12-08
Sicilia,0.74,2020-12-08
Toscana,0.70,2020-12-08
Trento,0.68,2020-12-08
Umbria,0.76,2020-12-08
Valle d'Aosta,0.68,2020-12-08
Veneto,1.11,2020-12-08
Abruzzo,0.65,2020-12-15
Basilicata,1.09,2020-12-15
Bolzano,0.76,2020-12-15
Calabria,1.09,2020-12-15
Campania,0.78,2020-12-15
Emilia-Romagna,0.98,2020-12-15
Friuli VG,0.96,2020-12-15
Lazio,0.84,2020-12-15
Liguria,1.07,2020-12-15
Lombardia,1.00,2020-12-15
Marche,0.99,2020-12-15
Molise,0.89,2020-12-15
Piemonte,0.71,2020-12-15
Puglia,1.00,2020-12-15
Sardegna,0.78,2020-12-15
Sicilia,0.93,2020-12-15
Toscana,0.79,2020-12-15
Trento,0.71,2020-12-15
Umbria,0.80,2020-12-15
Valle d'Aosta,0.83,2020-12-15
Veneto,1.07,2020-12-15
Abruzzo,0.90,2020-12-22
Basilicata,0.83,2020-12-22
Bolzano,0.81,2020-12-22
Calabria,1.14,2020-12-22
Campania,0.83,2020-12-22
