Region,Rt_avg_14days,Rt_range_14days_lower,Rt_range_14days_upper,computation_time_range_start,computation_time_range_end
Abruzzo,1.03,0.66,1.45,2021-06-16,2021-06-29
Basilicata,0.99,0.42,1.91,2021-06-16,2021-06-29
Bolzano,0.62,0.29,1.31,2021-06-16,2021-06-29
Calabria,0.77,0.43,1.26,2021-06-16,2021-06-29
Campania,0.75,0.46,1.17,2021-06-16,2021-06-29
Emilia R.,0.69,0.54,0.87,2021-06-16,2021-06-29
Friuli V.G.,0.80,0.45,1.26,2021-06-16,2021-06-29
Lazio,0.69,0.58,0.81,2021-06-16,2021-06-29
Liguria,0.64,0.27,1.14,2021-06-16,2021-06-29
Lombardia,0.66,0.53,0.86,2021-06-16,2021-06-29
Marche,0.59,0.25,1.12,2021-06-16,2021-06-29
Molise,0.23,0.00,0.93,2021-06-16,2021-06-29
Piemonte,0.58,0.38,0.95,2021-06-16,2021-06-29
Puglia,0.64,0.49,0.85,2021-06-16,2021-06-29
Sardegna,1.08,0.61,1.76,2021-06-16,2021-06-29
Sicilia,0.68,0.51,0.96,2021-06-16,2021-06-29
Toscana,0.61,0.49,0.90,2021-06-16,2021-06-29
Trento,0.72,0.33,1.42,2021-06-16,2021-06-29
Umbria,0.85,0.50,1.25,2021-06-16,2021-06-29
Valle d'Aosta,0.76,0.26,1.49,2021-06-16,2021-06-29
Veneto,0.69,0.48,1.17,2021-06-16,2021-06-29
Abruzzo,1.19,0.87,1.54,2021-06-23,2021-07-06
Basilicata,0.96,0.44,1.78,2021-06-23,2021-07-06
Bolzano,0.99,0.32,1.82,2021-06-23,2021-07-06
Calabria,0.90,0.54,1.27,2021-06-23,2021-07-06
Campania,1.08,0.70,1.44,2021-06-23,2021-07-06
Emilia R.,0.92,0.64,1.50,2021-06-23,2021-07-06
Friuli V.G.,0.93,0.61,1.46,2021-06-23,2021-07-06
Lazio,0.85,0.60,1.23,2021-06-23,2021-07-06
Liguria,1.01,0.28,1.95,2021-06-23,2021-07-06
Lombardia,0.91,0.59,1.26,2021-06-23,2021-07-06
Marche,0.97,0.54,1.63,2021-06-23,2021-07-06
Molise,0.12,0.00,0.92,2021-06-23,2021-07-06
Piemonte,0.85,0.40,1.37,2021-06-23,2021-07-06
Puglia,0.79,0.50,1.37,2021-06-23,2021-07-06
Sardegna,1.35,0.82,2.29,2021-06-23,2021-07-06
Sicilia,0.90,0.51,1.37,2021-06-23,2021-07-06
Toscana,0.94,0.47,1.61,2021-06-23,2021-07-06
Trento,0.90,0.34,1.76,2021-06-23,2021-07-06
Umbria,0.89,0.52,1.36,2021-06-23,2021-07-06
Valle d'Aosta,0.68,0.02,1.50,2021-06-23,2021-07-06
Veneto,1.12,0.52,1.81,2021-06-23,2021-07-06
Abruzzo,1.14,0.72,1.57,2021-06-30,2021-07-13
Basilicata,0.97,0.38,1.81,2021-06-30,2021-07-13
Bolzano,1.33,0.76,1.98,2021-06-30,2021-07-13
Calabria,0.91,0.55,1.27,2021-06-30,2021-07-13
Campania,1.20,0.98,1.45,2021-06-30,2021-07-13
Emilia R.,1.27,0.77,1.66,2021-06-30,2021-07-13
Friuli V.G.,1.12,0.62,1.68,2021-06-30,2021-07-13
Lazio,1.26,0.74,1.92,2021-06-30,2021-07-13
Liguria,1.50,0.81,2.20,2021-06-30,2021-07-13
Lombardia,1.26,0.88,1.52,2021-06-30,2021-07-13
Marche,1.27,0.76,1.96,2021-06-30,2021-07-13
Molise,0.02,0.00,0.81,2021-06-30,2021-07-13
Piemonte,1.29,0.74,1.99,2021-06-30,2021-07-13
Puglia,1.08,0.57,1.43,2021-06-30,2021-07-13
Sardegna,1.91,0.84,2.70,2021-06-30,2021-07-13
Sicilia,1.20,0.86,1.55,2021-06-30,2021-07-13
Toscana,1.37,0.78,1.95,2021-06-30,2021-07-13
Trento,1.28,0.48,2.90,2021-06-30,2021-07-13
Umbria,1.07,0.77,1.76,2021-06-30,2021-07-13
Valle d'Aosta,0.34,0.00,1.29,2021-06-30,2021-07-13
Veneto,1.60,1.03,2.03,2021-06-30,2021-07-13
Abruzzo,1.06,0.70,1.48,2021-07-06,2021-07-20
Basilicata,1.20,0.36,2.38,2021-07-06,2021-07-20
Bolzano,1.36,0.84,1.98,2021-07-06,2021-07-20
Calabria,1.17,0.75,1.61,2021-07-06,2021-07-20
Campania,1.19,1.05,1.42,2021-07-06,2021-07-20
Emilia R.,1.65,1.23,1.98,2021-07-06,2021-07-20
Friuli V.G.,1.28,0.88,1.81,2021-07-06,2021-07-20
Lazio,1.63,1.10,2.12,2021-07-06,2021-07-20
Liguria,1.88,1.21,2.41,2021-07-06,2021-07-20
Lombardia,1.50,1.22,1.72,2021-07-06,2021-07-20
Marche,1.34,0.70,2.62,2021-07-06,2021-07-20
Molise,0.25,0.00,1.36,2021-07-06,2021-07-20
Piemonte,1.67,1.06,2.06,2021-07-06,2021-07-20
Puglia,1.40,0.92,1.86,2021-07-06,2021-07-20
Sardegna,2.19,1.33,2.83,2021-07-06,2021-07-20
Sicilia,1.50,1.09,1.86,2021-07-06,2021-07-20
Toscana,1.78,1.20,2.33,2021-07-06,2021-07-20
Trento,1.83,0.57,2.90,2021-07-06,2021-07-20
Umbria,1.52,0.72,2.35,2021-07-06,2021-07-20
Valle d'Aosta,0.59,0.00,2.52,2021-07-06,2021-07-20
Veneto,1.85,1.47,2.18,2021-07-06,2021-07-20
Abruzzo,1.18,0.74,1.51,2021-07-14,2021-07-27
Basilicata,1.46,0.62,2.47,2021-07-14,2021-07-27
Bolzano,1.15,0.69,1.85,2021-07-14,2021-07-27
Calabria,1.36,0.87,1.86,2021-07-14,2021-07-27
Campania,1.18,1.02,1.36,2021-07-14,2021-07-27
Emilia R.,1.67,1.21,2.02,2021-07-14,2021-07-27
Friuli V.G.,1.41,0.89,1.86,2021-07-14,2021-07-27
Lazio,1.41,0.82,2.13,2021-07-14,2021-07-27
Liguria,1.87,1.22,2.42,2021-07-14,2021-07-27
Lombardia,1.40,1.05,1.73,2021-07-14,2021-07-27
Marche,1.90,0.71,3.03,2021-07-14,2021-07-27
Molise,0.30,0.00,1.32,2021-07-14,2021-07-27
Piemonte,1.82,1.19,2.28,2021-07-14,2021-07-27
Puglia,1.60,1.27,1.93,2021-07-14,2021-07-27
Sardegna,2.19,1.33,2.83,2021-07-14,2021-07-27
Sicilia,1.56,1.24,1.90,2021-07-14,2021-07-27
Toscana,1.95,1.56,2.33,2021-07-14,2021-07-27
Trento,1.83,0.98,2.91,2021-07-14,2021-07-27
Umbria,1.81,1.31,2.38,2021-07-14,2021-07-27
Valle d'Aosta,1.35,0.19,2.56,2021-07-14,2021-07-27
Veneto,1.68,1.15,2.18,2021-07-14,2021-07-27
Abruzzo,1.24,0.98,1.53,2021-07-21,2021-08-03
Basilicata,1.48,0.67,2.31,2021-07-21,2021-08-03
Bolzano,0.92,0.58,1.42,2021-07-21,2021-08-03
Calabria,1.17,0.75,1.89,2021-07-21,2021-08-03
Campania,1.17,0.99,1.38,2021-07-21,2021-08-03
Emilia R.,1.32,1.03,1.88,2021-07-21,2021-08-03
Friuli V.G.,1.43,1.10,1.85,2021-07-21,2021-08-03
Lazio,0.89,0.63,1.32,2021-07-21,2021-08-03
Liguria,1.36,0.95,2.15,2021-07-21,2021-08-03
Lombardia,1.20,0.84,1.49,2021-07-21,2021-08-03
Marche,1.99,1.23,3.02,2021-07-21,2021-08-03
Molise,0.37,0.00,1.21,2021-07-21,2021-08-03
Piemonte,1.42,0.85,2.12,2021-07-21,2021-08-03
Puglia,1.44,1.21,1.87,2021-07-21,2021-08-03
Sardegna,1.13,0.83,1.56,2021-07-21,2021-08-03
Sicilia,1.30,1.05,1.71,2021-07-21,2021-08-03
Toscana,1.60,1.21,2.16,2021-07-21,2021-08-03
Trento,1.18,0.66,2.16,2021-07-21,2021-08-03
Umbria,1.39,0.86,2.14,2021-07-21,2021-08-03
Valle d'Aosta,1.61,0.76,2.61,2021-07-21,2021-08-03
Veneto,1.24,0.96,1.71,2021-07-21,2021-08-03
Abruzzo,1.14,0.87,1.43,2021-07-28,2021-08-10
Basilicata,1.48,0.89,2.29,2021-07-28,2021-08-10
Bolzano,0.94,0.60,1.34,2021-07-28,2021-08-10
Calabria,1.08,0.80,1.39,2021-07-28,2021-08-10
Campania,1.19,0.99,1.38,2021-07-28,2021-08-10
Emilia R.,1.09,0.90,1.28,2021-07-28,2021-08-10
Friuli V.G.,1.17,0.78,1.57,2021-07-28,2021-08-10
Lazio,0.83,0.70,0.98,2021-07-28,2021-08-10
Liguria,1.07,0.93,1.31,2021-07-28,2021-08-10
Lombardia,1.02,0.80,1.28,2021-07-28,2021-08-10
Marche,1.60,1.05,2.19,2021-07-28,2021-08-10
Molise,0.42,0.02,1.23,2021-07-28,2021-08-10
Piemonte,1.09,0.88,1.48,2021-07-28,2021-08-10
Puglia,1.30,1.05,1.49,2021-07-28,2021-08-10
Sardegna,0.93,0.62,1.22,2021-07-28,2021-08-10
Sicilia,1.19,1.09,1.37,2021-07-28,2021-08-10
Toscana,1.26,1.05,1.59,2021-07-28,2021-08-10
Trento,0.98,0.65,1.37,2021-07-28,2021-08-10
Umbria,1.04,0.86,1.43,2021-07-28,2021-08-10
Valle d'Aosta,1.61,0.77,2.77,2021-07-28,2021-08-10
Veneto,1.01,0.84,1.21,2021-07-28,2021-08-10
Abruzzo,1.06,0.87,1.31,2021-08-05,2021-08-17
Basilicata,1.48,0.87,2.33,2021-08-05,2021-08-17
Bolzano,0.92,0.51,1.36,2021-08-05,2021-08-17
Calabria,1.08,0.76,1.44,2021-08-05,2021-08-17
Campania,1.10,0.86,1.41,2021-08-05,2021-08-17
Emilia R.,0.95,0.85,1.12,2021-08-05,2021-08-17
Friuli V.G.,0.97,0.82,1.27,2021-08-05,2021-08-17
Lazio,0.89,0.75,1.00,2021-08-05,2021-08-17
Liguria,1.05,0.92,1.22,2021-08-05,2021-08-17
Lombardia,0.88,0.66,1.04,2021-08-05,2021-08-17
Marche,1.21,0.73,2.00,2021-08-05,2021-08-17
Molise,0.60,0.09,1.96,2021-08-05,2021-08-17
Piemonte,1.00,0.78,1.16,2021-08-05,2021-08-17
Puglia,1.15,0.87,1.45,2021-08-05,2021-08-17
Sardegna,0.82,0.69,1.05,2021-08-05,2021-08-17
Sicilia,1.19,1.08,1.29,2021-08-05,2021-08-17
Toscana,1.09,1.00,1.21,2021-08-05,2021-08-17
Trento,1.11,0.84,1.43,2021-08-05,2021-08-17
Umbria,0.92,0.75,1.10,2021-08-05,2021-08-17
Valle d'Aosta,1.37,0.68,2.78,2021-08-05,2021-08-17
Veneto,0.89,0.82,1.01,2021-08-05,2021-08-17
Abruzzo,1.01,0.75,1.21,2021-08-11,2021-08-24
Basilicata,1.41,0.91,2.19,2021-08-11,2021-08-24
Bolzano,0.81,0.55,1.13,2021-08-11,2021-08-24
Calabria,1.09,0.87,1.31,2021-08-11,2021-08-24
Campania,0.95,0.83,1.13,2021-08-11,2021-08-24
Emilia R.,0.89,0.84,0.95,2021-08-11,2021-08-24
Friuli V.G.,0.96,0.83,1.09,2021-08-11,2021-08-24
Lazio,0.85,0.73,0.97,2021-08-11,2021-08-24
Liguria,1.04,0.93,1.15,2021-08-11,2021-08-24
Lombardia,0.86,0.78,0.94,2021-08-11,2021-08-24
Marche,0.86,0.62,1.09,2021-08-11,2021-08-24
Molise,1.01,0.20,1.97,2021-08-11,2021-08-24
Piemonte,0.99,0.83,1.16,2021-08-11,2021-08-24
Puglia,1.01,0.83,1.20,2021-08-11,2021-08-24
Sardegna,0.88,0.71,0.98,2021-08-11,2021-08-24
Sicilia,1.16,0.91,1.28,2021-08-11,2021-08-24
Toscana,0.99,0.90,1.12,2021-08-11,2021-08-24
Trento,1.07,0.73,1.39,2021-08-11,2021-08-24
Umbria,0.86,0.75,1.03,2021-08-11,2021-08-24
Valle d'Aosta,0.94,0.38,1.52,2021-08-11,2021-08-24
Veneto,0.89,0.83,0.97,2021-08-11,2021-08-24
Abruzzo,0.85,0.62,1.19,2021-08-18,2021-08-31
Basilicata,1.24,0.83,1.70,2021-08-18,2021-08-31
Bolzano,0.93,0.66,1.20,2021-08-18,2021-08-31
Calabria,0.98,0.54,1.40,2021-08-18,2021-08-31
Campania,0.90,0.74,1.04,2021-08-18,2021-08-31
Emilia R.,0.85,0.72,0.93,2021-08-18,2021-08-31
Friuli V.G.,0.96,0.83,1.12,2021-08-18,2021-08-31
Lazio,0.78,0.64,0.93,2021-08-18,2021-08-31
Liguria,0.95,0.70,1.16,2021-08-18,2021-08-31
Lombardia,0.92,0.77,1.02,2021-08-18,2021-08-31
Marche,0.94,0.64,1.39,2021-08-18,2021-08-31
Molise,1.02,0.17,1.92,2021-08-18,2021-08-31
Piemonte,0.97,0.80,1.15,2021-08-18,2021-08-31
Puglia,0.92,0.76,1.10,2021-08-18,2021-08-31
Sardegna,0.81,0.48,1.13,2021-08-18,2021-08-31
Sicilia,0.99,0.75,1.28,2021-08-18,2021-08-31
Toscana,0.89,0.77,0.99,2021-08-18,2021-08-31
Trento,0.93,0.58,1.34,2021-08-18,2021-08-31
Umbria,0.83,0.72,0.94,2021-08-18,2021-08-31
Valle d'Aosta,0.63,0.21,1.43,2021-08-18,2021-08-31
Veneto,0.88,0.76,0.99,2021-08-18,2021-08-31
Abruzzo,0.78,0.64,1.02,2021-08-25,2021-09-07
Basilicata,1.01,0.56,1.56,2021-08-25,2021-09-07
Bolzano,0.93,0.66,1.20,2021-08-25,2021-09-07
Calabria,0.84,0.60,1.26,2021-08-25,2021-09-07
Campania,0.85,0.69,1.03,2021-08-25,2021-09-07
Emilia R.,0.81,0.73,0.93,2021-08-25,2021-09-07
Friuli V.G.,0.95,0.84,1.07,2021-08-25,2021-09-07
Lazio,0.76,0.66,0.86,2021-08-25,2021-09-07
Liguria,0.85,0.71,1.01,2021-08-25,2021-09-07
Lombardia,0.97,0.84,1.06,2021-08-25,2021-09-07
Marche,1.14,0.72,1.59,2021-08-25,2021-09-07
Molise,1.02,0.17,1.92,2021-08-25,2021-09-07
Piemonte,0.91,0.71,1.09,2021-08-25,2021-09-07
Puglia,0.85,0.77,0.94,2021-08-25,2021-09-07
Sardegna,0.62,0.45,0.88,2021-08-25,2021-09-07
Sicilia,0.83,0.71,0.99,2021-08-25,2021-09-07
Toscana,0.83,0.76,0.91,2021-08-25,2021-09-07
Trento,0.86,0.54,1.35,2021-08-25,2021-09-07
Umbria,0.82,0.68,0.97,2021-08-25,2021-09-07
Valle d'Aosta,0.75,0.30,1.73,2021-08-25,2021-09-07
Veneto,0.84,0.75,0.95,2021-08-25,2021-09-07
Abruzzo,0.88,0.71,1.05,2021-09-01,2021-09-14
Basilicata,0.89,0.55,1.33,2021-09-01,2021-09-14
Bolzano,0.98,0.80,1.17,2021-09-01,2021-09-14
Calabria,0.81,0.63,1.01,2021-09-01,2021-09-14
Campania,0.84,0.73,1.08,2021-09-01,2021-09-14
Emilia R.,0.79,0.72,0.85,2021-09-01,2021-09-14
Friuli V.G.,0.93,0.73,1.10,2021-09-01,2021-09-14
Lazio,0.79,0.71,0.88,2021-09-01,2021-09-14
Liguria,0.83,0.69,0.97,2021-09-01,2021-09-14
Lombardia,0.94,0.79,1.08,2021-09-01,2021-09-14
Marche,1.13,0.76,1.54,2021-09-01,2021-09-14
Molise,1.19,0.28,2.84,2021-09-01,2021-09-14
Piemonte,0.87,0.75,0.98,2021-09-01,2021-09-14
Puglia,0.87,0.75,0.98,2021-09-01,2021-09-14
Sardegna,0.60,0.51,0.73,2021-09-01,2021-09-14
Sicilia,0.77,0.66,0.87,2021-09-01,2021-09-14
Toscana,0.83,0.74,0.93,2021-09-01,2021-09-14
Trento,1.09,0.56,1.57,2021-09-01,2021-09-14
Umbria,0.81,0.67,0.95,2021-09-01,2021-09-14
Valle d'Aosta,1.00,0.36,1.79,2021-09-01,2021-09-14
Veneto,0.85,0.77,0.92,2021-09-01,2021-09-14
Abruzzo,0.86,0.64,1.06,2021-09-08,2021-09-21
Basilicata,1.04,0.57,1.61,2021-09-08,2021-09-21
Bolzano,0.91,0.70,1.14,2021-09-08,2021-09-21
Calabria,0.80,0.61,1.04,2021-09-08,2021-09-21
Campania,0.92,0.77,1.08,2021-09-08,2021-09-21
Emilia R.,0.77,0.70,0.85,2021-09-08,2021-09-21
Friuli V.G.,0.86,0.71,1.08,2021-09-08,2021-09-21
Lazio,0.88,0.73,1.07,2021-09-08,2021-09-21
Liguria,0.79,0.69,0.92,2021-09-08,2021-09-21
Lombardia,0.89,0.71,0.97,2021-09-08,2021-09-21
Marche,0.96,0.71,1.41,2021-09-08,2021-09-21
Molise,0.61,0.10,1.57,2021-09-08,2021-09-21
Piemonte,0.88,0.76,1.00,2021-09-08,2021-09-21
Puglia,0.89,0.76,1.00,2021-09-08,2021-09-21
Sardegna,0.60,0.48,0.70,2021-09-08,2021-09-21
Sicilia,0.74,0.67,0.80,2021-09-08,2021-09-21
Toscana,0.87,0.78,0.98,2021-09-08,2021-09-21
Trento,1.04,0.70,1.54,2021-09-08,2021-09-21
Umbria,0.80,0.67,1.01,2021-09-08,2021-09-21
Valle d'Aosta,1.11,0.52,1.89,2021-09-08,2021-09-21
Veneto,0.86,0.78,0.93,2021-09-08,2021-09-21
Abruzzo,0.80,0.64,0.95,2021-09-15,2021-09-28
Basilicata,0.97,0.36,1.70,2021-09-15,2021-09-28
Bolzano,0.91,0.69,1.19,2021-09-15,2021-09-28
Calabria,0.81,0.65,1.02,2021-09-15,2021-09-28
Campania,0.95,0.86,1.06,2021-09-15,2021-09-28
Emilia R.,0.81,0.71,0.93,2021-09-15,2021-09-28
Friuli V.G.,0.80,0.64,0.95,2021-09-15,2021-09-28
Lazio,0.96,0.84,1.08,2021-09-15,2021-09-28
Liguria,0.82,0.67,1.05,2021-09-15,2021-09-28
Lombardia,0.84,0.69,0.98,2021-09-15,2021-09-28
Marche,0.86,0.62,1.14,2021-09-15,2021-09-28
Molise,0.53,0.04,1.46,2021-09-15,2021-09-28
Piemonte,0.74,0.23,0.99,2021-09-15,2021-09-28
Puglia,0.93,0.81,1.06,2021-09-15,2021-09-28
Sardegna,0.69,0.53,1.01,2021-09-15,2021-09-28
Sicilia,0.76,0.70,0.85,2021-09-15,2021-09-28
Toscana,0.83,0.71,0.96,2021-09-15,2021-09-28
Trento,0.90,0.68,1.20,2021-09-15,2021-09-28
Umbria,0.87,0.70,1.07,2021-09-15,2021-09-28
Valle d'Aosta,1.31,0.67,2.13,2021-09-15,2021-09-28
Veneto,0.83,0.74,0.92,2021-09-15,2021-09-28
Abruzzo,0.85,0.65,1.06,2021-09-22,2021-10-05
Basilicata,0.78,0.36,1.42,2021-09-22,2021-10-05
Bolzano,0.97,0.71,1.20,2021-09-22,2021-10-05
Calabria,0.88,0.71,1.14,2021-09-22,2021-10-05
Campania,0.92,0.85,1.01,2021-09-22,2021-10-05
Emilia R.,0.84,0.72,0.95,2021-09-22,2021-10-05
Friuli V.G.,0.82,0.65,1.02,2021-09-22,2021-10-05
Lazio,0.93,0.80,1.08,2021-09-22,2021-10-05
Liguria,0.90,0.66,1.11,2021-09-22,2021-10-05
Lombardia,0.80,0.67,0.90,2021-09-22,2021-10-05
Marche,0.83,0.56,1.31,2021-09-22,2021-10-05
Molise,0.34,0.00,1.41,2021-09-22,2021-10-05
Piemonte,0.90,0.72,1.05,2021-09-22,2021-10-05
Puglia,0.90,0.74,1.07,2021-09-22,2021-10-05
Sardegna,0.80,0.55,1.04,2021-09-22,2021-10-05
Sicilia,0.78,0.69,0.86,2021-09-22,2021-10-05
Toscana,0.84,0.69,1.03,2021-09-22,2021-10-05
Trento,1.02,0.68,1.42,2021-09-22,2021-10-05
Umbria,0.91,0.76,1.11,2021-09-22,2021-10-05
Valle d'Aosta,1.57,0.90,2.43,2021-09-22,2021-10-05
Veneto,0.85,0.75,0.97,2021-09-22,2021-10-05
Abruzzo,0.86,0.65,1.07,2021-09-29,2021-10-12
Basilicata,0.94,0.44,1.75,2021-09-29,2021-10-12
Bolzano,0.99,0.78,1.25,2021-09-29,2021-10-12
Calabria,1.05,0.74,1.48,2021-09-29,2021-10-12
Campania,0.94,0.86,1.04,2021-09-29,2021-10-12
Emilia R.,0.81,0.70,0.93,2021-09-29,2021-10-12
Friuli V.G.,0.92,0.75,1.18,2021-09-29,2021-10-12
Lazio,0.88,0.75,1.00,2021-09-29,2021-10-12
Liguria,0.93,0.74,1.12,2021-09-29,2021-10-12
Lombardia,0.82,0.75,0.89,2021-09-29,2021-10-12
Marche,0.93,0.52,1.40,2021-09-29,2021-10-12
Molise,0.20,0.00,0.74,2021-09-29,2021-10-12
Piemonte,0.92,0.77,1.10,2021-09-29,2021-10-12
Puglia,0.88,0.76,1.02,2021-09-29,2021-10-12
Sardegna,0.85,0.67,1.07,2021-09-29,2021-10-12
Sicilia,0.77,0.68,0.87,2021-09-29,2021-10-12
Toscana,0.91,0.79,1.01,2021-09-29,2021-10-12
Trento,1.07,0.68,1.43,2021-09-29,2021-10-12
Umbria,0.83,0.56,1.04,2021-09-29,2021-10-12
Valle d'Aosta,1.42,0.60,2.45,2021-09-29,2021-10-12
Veneto,0.89,0.80,0.98,2021-09-29,2021-10-12
Abruzzo,1.00,0.65,1.48,2021-10-06,2021-10-19
Basilicata,1.16,0.47,2.03,2021-10-06,2021-10-19
Bolzano,1.01,0.84,1.29,2021-10-06,2021-10-19
Calabria,1.06,0.72,1.45,2021-10-06,2021-10-19
Campania,1.01,0.87,1.22,2021-10-06,2021-10-19
Emilia R.,0.91,0.71,1.19,2021-10-06,2021-10-19
Friuli V.G.,1.09,0.79,1.43,2021-10-06,2021-10-19
Lazio,0.99,0.77,1.31,2021-10-06,2021-10-19
Liguria,0.99,0.75,1.24,2021-10-06,2021-10-19
Lombardia,0.95,0.83,1.08,2021-10-06,2021-10-19
Marche,1.00,0.67,1.45,2021-10-06,2021-10-19
Molise,0.39,0.02,1.20,2021-10-06,2021-10-19
Piemonte,1.05,0.83,1.24,2021-10-06,2021-10-19
Puglia,1.02,0.81,1.46,2021-10-06,2021-10-19
Sardegna,0.83,0.56,1.08,2021-10-06,2021-10-19
Sicilia,0.93,0.69,1.26,2021-10-06,2021-10-19
Toscana,0.97,0.83,1.21,2021-10-06,2021-10-19
Trento,0.97,0.68,1.39,2021-10-06,2021-10-19
Umbria,0.85,0.46,1.53,2021-10-06,2021-10-19
Valle d'Aosta,1.04,0.61,1.86,2021-10-06,2021-10-19
Veneto,0.94,0.82,1.16,2021-10-06,2021-10-19
Abruzzo,1.30,0.92,1.62,2021-10-13,2021-10-26
Basilicata,1.17,0.51,2.18,2021-10-13,2021-10-26
Bolzano,1.23,0.86,1.63,2021-10-13,2021-10-26
Calabria,1.12,0.74,1.48,2021-10-13,2021-10-26
Campania,1.20,0.91,1.47,2021-10-13,2021-10-26
Emilia R.,1.14,0.85,1.35,2021-10-13,2021-10-26
Friuli V.G.,1.41,1.06,1.83,2021-10-13,2021-10-26
Lazio,1.23,0.97,1.39,2021-10-13,2021-10-26
Liguria,1.13,0.93,1.35,2021-10-13,2021-10-26
Lombardia,1.11,0.92,1.26,2021-10-13,2021-10-26
Marche,1.06,0.71,1.40,2021-10-13,2021-10-26
Molise,0.84,0.04,2.18,2021-10-13,2021-10-26
Piemonte,1.12,0.97,1.29,2021-10-13,2021-10-26
Puglia,1.28,0.92,1.61,2021-10-13,2021-10-26
Sardegna,0.85,0.57,1.21,2021-10-13,2021-10-26
Sicilia,1.12,0.89,1.28,2021-10-13,2021-10-26
Toscana,1.11,0.85,1.31,2021-10-13,2021-10-26
Trento,1.22,0.67,1.92,2021-10-13,2021-10-26
Umbria,1.16,0.51,1.66,2021-10-13,2021-10-26
Valle d'Aosta,1.05,0.56,1.76,2021-10-13,2021-10-26
Veneto,1.09,0.88,1.28,2021-10-13,2021-10-26
Abruzzo,1.30,0.99,1.65,2021-10-20,2021-11-02
Basilicata,1.40,0.49,2.48,2021-10-20,2021-11-02
Bolzano,1.42,1.12,1.64,2021-10-20,2021-11-02
Calabria,1.15,0.72,1.57,2021-10-20,2021-11-02
Campania,1.28,1.05,1.48,2021-10-20,2021-11-02
Emilia R.,1.19,1.04,1.33,2021-10-20,2021-11-02
Friuli V.G.,1.56,1.24,1.89,2021-10-20,2021-11-02
Lazio,1.27,1.07,1.42,2021-10-20,2021-11-02
Liguria,1.18,1.00,1.36,2021-10-20,2021-11-02
Lombardia,1.14,1.00,1.28,2021-10-20,2021-11-02
Marche,1.16,0.87,1.45,2021-10-20,2021-11-02
Molise,0.93,0.11,2.12,2021-10-20,2021-11-02
Piemonte,1.09,0.94,1.22,2021-10-20,2021-11-02
Puglia,1.25,0.87,1.63,2021-10-20,2021-11-02
Sardegna,1.17,0.64,1.67,2021-10-20,2021-11-02
Sicilia,1.08,0.89,1.31,2021-10-20,2021-11-02
Toscana,1.21,1.10,1.32,2021-10-20,2021-11-02
Trento,1.39,1.00,1.97,2021-10-20,2021-11-02
Umbria,1.27,0.90,1.76,2021-10-20,2021-11-02
Valle d'Aosta,1.12,0.57,1.77,2021-10-20,2021-11-02
Veneto,1.17,1.05,1.30,2021-10-20,2021-11-02
Abruzzo,1.20,1.00,1.39,2021-10-27,2021-11-09
Basilicata,1.55,0.90,2.52,2021-10-27,2021-11-09
Bolzano,1.47,1.28,1.63,2021-10-27,2021-11-09
Calabria,1.02,0.79,1.32,2021-10-27,2021-11-09
Campania,1.22,1.06,1.43,2021-10-27,2021-11-09
Emilia R.,1.21,1.06,1.35,2021-10-27,2021-11-09
Friuli V.G.,1.43,1.04,1.83,2021-10-27,2021-11-09
Lazio,1.22,1.12,1.37,2021-10-27,2021-11-09
Liguria,1.28,1.10,1.51,2021-10-27,2021-11-09
Lombardia,1.24,1.11,1.39,2021-10-27,2021-11-09
Marche,1.24,0.94,1.60,2021-10-27,2021-11-09
Molise,0.84,0.03,2.30,2021-10-27,2021-11-09
Piemonte,1.19,0.99,1.41,2021-10-27,2021-11-09
Puglia,1.06,0.92,1.30,2021-10-27,2021-11-09
Sardegna,1.39,1.11,1.72,2021-10-27,2021-11-09
Sicilia,1.05,0.92,1.22,2021-10-27,2021-11-09
Toscana,1.16,1.05,1.29,2021-10-27,2021-11-09
Trento,1.21,0.90,1.63,2021-10-27,2021-11-09
Umbria,1.17,0.95,1.40,2021-10-27,2021-11-09
Valle d'Aosta,1.38,0.76,2.28,2021-10-27,2021-11-09
Veneto,1.23,1.10,1.38,2021-10-27,2021-11-09
Abruzzo,1.22,1.08,1.40,2021-11-03,2021-11-16
Basilicata,1.32,0.72,1.97,2021-11-03,2021-11-16
Bolzano,1.43,1.07,1.72,2021-11-03,2021-11-16
Calabria,1.00,0.79,1.26,2021-11-03,2021-11-16
Campania,1.16,1.04,1.29,2021-11-03,2021-11-16
Emilia R.,1.27,1.18,1.36,2021-11-03,2021-11-16
Friuli V.G.,1.22,0.87,1.57,2021-11-03,2021-11-16
Lazio,1.17,0.97,1.31,2021-11-03,2021-11-16
Liguria,1.36,1.14,1.54,2021-11-03,2021-11-16
Lombardia,1.34,1.21,1.45,2021-11-03,2021-11-16
Marche,1.23,0.97,1.59,2021-11-03,2021-11-16
Molise,1.19,0.03,2.60,2021-11-03,2021-11-16
Piemonte,1.28,1.14,1.43,2021-11-03,2021-11-16
Puglia,1.04,0.90,1.19,2021-11-03,2021-11-16
Sardegna,1.33,1.10,1.63,2021-11-03,2021-11-16
Sicilia,1.10,0.96,1.25,2021-11-03,2021-11-16
Toscana,1.09,1.00,1.18,2021-11-03,2021-11-16
Trento,1.20,0.91,1.48,2021-11-03,2021-11-16
Umbria,1.14,0.82,1.41,2021-11-03,2021-11-16
