"","x"
"144",-0.0453735804765663
"145",-0.118692498273835
"146",-0.0726296784507083
"147",0.088818545354309
"148",0.0344287883937538
"149",0.0784438390703744
"150",0.0549691439616811
"151",0.0787349288846561
"152",0.0887410895223858
"153",-0.0358981660136282
"154",-0.0482020830311761
"155",-0.112531218455807
"156",-0.0361826909620076
"157",-0.118487835071732
"158",-0.0722383097370797
"159",0.0894440845991873
"160",0.0338214437519066
"161",0.0779126076762022
"162",0.0528472661040354
"163",0.0803091838627096
"164",0.0902695452361179
"165",-0.0371094955313709
"166",-0.0508577461345545
"167",-0.113738261162102
"168",-0.0321724835933209
"169",-0.118592613363463
"170",-0.0724386727961424
"171",0.0891238368320483
"172",0.0341323767061983
"173",0.0781845740943138
"174",0.0539335714823414
"175",0.0795032366007961
"176",0.0894870451236129
"177",-0.0364893496708148
"178",-0.0494981668817838
"179",-0.113120309954888
"180",-0.0342255281722205
"181",-0.11884278223612
"182",-0.0729170600630068
"183",0.0883592125806632
"184",0.0348747608905758
"185",0.0788339216938559
"186",0.0565272365188946
"187",0.0775789552004862
"188",0.087618746187205
"189",-0.0350086880923957
"190",-0.0462520325601129
"191",-0.111644888335465
"192",-0.0391273817845822
"193",-0.119043006379327
"194",-0.0732999401536113
"195",0.0877472410192804
"196",0.0354689324822255
"197",0.0793536309022052
"198",0.0586030917369947
"199",0.0760388451517212
"200",0.0861234420359539
"201",-0.0338236318031355
"202",-0.0436539696740709
"203",-0.110464025878512
"204",-0.0430506094397254
"205",-0.119115781255224
"206",-0.0734391044453433
"207",0.0875248095296577
"208",0.0356848942696058
"209",0.0795425280678227
"210",0.0593575966805897
"211",0.0754790659169549
"212",0.0855799482679589
"213",-0.0333929029060097
"214",-0.0427096594571552
"215",-0.110034821301185
"216",-0.0444765733676738
"217",-0.119099168175387
"218",-0.0734073359612266
"219",0.0875755862853699
"220",0.0356355944202923
"221",0.0794994065419562
"222",0.0591853579689327
"223",0.0756068525604049
"224",0.0857040172580798
"225",-0.0334912298831146
"226",-0.042925226997894
"227",-0.110132800305913
"228",-0.0441510537115019
"229",-0.118999975667213
"230",-0.0732176543578567
"231",0.087878761482588
"232",0.0353412374585526
"233",0.0792419387907076
"234",0.0581569640780115
"235",0.0763698343674627
"236",0.0864448018950851
"237",-0.0340783154551943
"238",-0.0442123263952597
"239",-0.110717808222727
"240",-0.0422074579741579
"241",-0.11883581423787
"242",-0.0729037354571006
"243",0.0883805097963748
"244",0.0348540831314191
"245",0.0788158352992978
"246",0.056454994703824
"247",0.0776325525536933
"248",0.0876707842508557
"249",-0.0350499292235452
"250",-0.046342447718607
"251",-0.111685983517101
"252",-0.0389908495812418
