,data,nuovi_positivi,nuovi_positivi_Tikhonov,Rt,Rt_interv_cred_min,Rt_interv_cred_max
53,2020-04-17 23:59:00,3493,3217.517086970322,0.8522878281067023,0.8235609983200847,0.8814513142969488
54,2020-04-18 23:59:00,3491,3136.6856033022987,0.849875679911362,0.8190788466943448,0.8797493527016491
55,2020-04-19 23:59:00,3047,3055.8963381767885,0.8473024018088033,0.8178261903317922,0.8781954840437461
56,2020-04-20 23:59:00,2256,2975.6331457293086,0.8450600347718717,0.8159106565777072,0.8763863342270856
57,2020-04-21 23:59:00,2729,2895.23622076517,0.8421951091035483,0.8115213856371691,0.8734774888788686
58,2020-04-22 23:59:00,3370,2809.3604650327998,0.8374548811095497,0.8065450306118813,0.868250097285043
59,2020-04-23 23:59:00,2646,2711.6301621642338,0.8293429119731779,0.7982322779703173,0.8602135271755648
60,2020-04-24 23:59:00,3021,2599.9559651030936,0.8162158647597515,0.7847132598397165,0.8473211288085497
61,2020-04-25 23:59:00,2357,2476.2455610716056,0.7992699180116262,0.7669776663900969,0.8294755270652867
62,2020-04-26 23:59:00,2324,2346.7705537031106,0.7802733262230189,0.7485428007139946,0.8113498080894535
63,2020-04-27 23:59:00,1739,2218.3229993578934,0.7615828266425139,0.7294000047608228,0.7936203377452188
64,2020-04-28 23:59:00,2091,2095.56430211,0.7453189074865636,0.7135302425446978,0.7779507698262709
65,2020-04-29 23:59:00,2086,1978.601848258947,0.7305829703757459,0.6991416909821707,0.7645203417356519
66,2020-04-30 23:59:00,1872,1865.358959516501,0.7166961882528968,0.6826650328720784,0.7480523567579689
67,2020-05-01 23:59:00,1965,1753.9903283655372,0.703411139114111,0.670848249888036,0.736374513331997
68,2020-05-02 23:59:00,1900,1644.223615413202,0.6894799841423139,0.6573971898954588,0.7233745087275933
69,2020-05-03 23:59:00,1389,1538.6345603536083,0.6771226206566244,0.6442858321418024,0.7103982393945896
70,2020-05-04 23:59:00,1221,1441.8120322488155,0.6666218069622561,0.6324399341094242,0.70120047872572
71,2020-05-05 23:59:00,1075,1356.9652758573918,0.6606804530239571,0.6258169667017658,0.6958543469506558
72,2020-05-06 23:59:00,1444,1284.02749071563,0.6597107706502365,0.6243308679387087,0.6953809194197651
73,2020-05-07 23:59:00,1401,1219.967635929555,0.6618242174237629,0.6246053181725192,0.6977328280131939
74,2020-05-08 23:59:00,1327,1161.9217866510546,0.6659948228813838,0.6274590106485424,0.7039476541240968
75,2020-05-09 23:59:00,1083,1108.7247929461319,0.6717106786610817,0.631771452030638,0.7093807935465997
76,2020-05-10 23:59:00,802,1060.631590674411,0.6784982629256264,0.6384294640466479,0.7207308866881021
77,2020-05-11 23:59:00,744,1017.3878167476672,0.6862140172966122,0.6433592015689439,0.7279338211151045
78,2020-05-12 23:59:00,1402,976.557587898219,0.6951702776350566,0.6520524443764216,0.738224176325476
79,2020-05-13 23:59:00,888,934.43757533936,0.6995054586553272,0.6557881000459213,0.7444038779687333
80,2020-05-14 23:59:00,992,889.7050784384519,0.7012148950487214,0.6531801747159026,0.7454658348736491
81,2020-05-15 23:59:00,789,842.8115419950773,0.6984325288032208,0.6514759723890775,0.7451988771321019
82,2020-05-16 23:59:00,875,795.8405175773956,0.6932015356388334,0.6454689470376029,0.7410452437994224
83,2020-05-17 23:59:00,675,751.3426853022132,0.6877136055086025,0.6400321882698252,0.7375360610001027
